distance_from_food_x,distance_from_food_y,action
0.0,0.09,UP
0.0,0.08,UP
0.0,0.07,UP
0.0,0.06,UP
0.0,0.05,UP
0.0,0.04,UP
0.0,0.03,UP
0.0,0.02,UP
0.464,-0.518,UP
0.454,-0.518,LEFT
0.444,-0.518,LEFT
0.434,-0.518,LEFT
0.424,-0.518,LEFT
0.414,-0.518,LEFT
0.404,-0.518,LEFT
0.394,-0.518,LEFT
0.384,-0.518,LEFT
0.374,-0.518,LEFT
0.364,-0.518,LEFT
0.354,-0.518,LEFT
0.344,-0.518,LEFT
0.334,-0.518,LEFT
0.324,-0.518,LEFT
0.314,-0.518,LEFT
0.304,-0.518,LEFT
0.294,-0.518,LEFT
0.284,-0.518,LEFT
0.274,-0.518,LEFT
0.264,-0.518,LEFT
0.254,-0.518,LEFT
0.244,-0.518,LEFT
0.234,-0.518,LEFT
0.224,-0.518,LEFT
0.214,-0.518,LEFT
0.204,-0.518,LEFT
0.194,-0.518,LEFT
0.184,-0.518,LEFT
0.174,-0.518,LEFT
0.164,-0.518,LEFT
0.154,-0.518,LEFT
0.144,-0.518,LEFT
0.134,-0.518,LEFT
0.124,-0.518,LEFT
0.114,-0.518,LEFT
0.114,-0.508,DOWN
0.114,-0.498,DOWN
0.114,-0.488,DOWN
0.114,-0.478,DOWN
0.114,-0.468,DOWN
0.114,-0.458,DOWN
0.114,-0.448,DOWN
0.114,-0.438,DOWN
0.114,-0.428,DOWN
0.114,-0.418,DOWN
0.114,-0.408,DOWN
0.114,-0.398,DOWN
0.114,-0.388,DOWN
0.114,-0.378,DOWN
0.114,-0.368,DOWN
0.114,-0.358,DOWN
0.114,-0.348,DOWN
0.114,-0.338,DOWN
0.114,-0.328,DOWN
0.114,-0.318,DOWN
0.114,-0.308,DOWN
0.114,-0.298,DOWN
0.114,-0.288,DOWN
0.114,-0.278,DOWN
0.114,-0.268,DOWN
0.114,-0.258,DOWN
0.114,-0.248,DOWN
0.114,-0.238,DOWN
0.114,-0.228,DOWN
0.114,-0.218,DOWN
0.114,-0.208,DOWN
0.114,-0.198,DOWN
0.114,-0.188,DOWN
0.114,-0.178,DOWN
0.114,-0.168,DOWN
0.114,-0.158,DOWN
0.114,-0.148,DOWN
0.114,-0.138,DOWN
0.114,-0.128,DOWN
0.114,-0.118,DOWN
0.114,-0.108,DOWN
0.114,-0.098,DOWN
0.114,-0.088,DOWN
0.114,-0.078,DOWN
0.114,-0.068,DOWN
0.114,-0.058,DOWN
0.114,-0.048,DOWN
0.114,-0.038,DOWN
0.114,-0.028,DOWN
0.114,-0.018,DOWN
0.104,-0.018,LEFT
0.094,-0.018,LEFT
0.084,-0.018,LEFT
0.074,-0.018,LEFT
0.064,-0.018,LEFT
0.054,-0.018,LEFT
0.044,-0.018,LEFT
0.034,-0.018,LEFT
0.034,-0.008,DOWN
0.024,-0.008,LEFT
-0.02,0.114,LEFT
-0.02,0.104,UP
